name,model,version,year,km,city,province,price
Chevrolet,Captiva Sport,3.0L Aut 4x4,2008,173000 km,Las Naves | ,Bolivar,u$s4.500
Chevrolet,Spark GT,1.2L Full,2017,50000 km, Milagro | ,Guayas,u$s10.500
Chevrolet,Sail Sedán,1.4L Std,2015,38574 km,Quito | ,Pichincha,u$s12.800
Chevrolet,Luv,CS 4X2 TM 2.2,1993,500000 km,Rumiñahui | ,Pichincha,u$s7.800
Dodge,Journey,2.4L SE 4x2 2 Filas,2013,98000 km,Samborondon | ,Guayas,u$s18.000
Ford,Fusion,2.5L SE Aut,2011,90000 km,Quito | ,Pichincha,u$s17.500
Nissan,X-Trail,Exclusive 4x4 Aut,2010,115000 km,Cuenca | ,Azuay,u$s16.000
Nissan,Pathfinder,3.5L Advance,2004,201100 km,Quito | ,Pichincha,u$s12.800
Nissan,Tiida Sedan,Advance,2013,117000 km,Guayaquil | ,Guayas,u$s9.200
Renault,Logan,1.6L Authentique,2011,84920 km,Limon-indanza | ,Morona Santiago,u$s2.500
Renault,Sandero,Dynamique,2014,45500 km,Quito | ,Pichincha,u$s12.500
Mercedes Benz,Clase S Convertible,500,2007,168261 km,Caluma | ,Bolivar,u$s7.500
Kia,Carnival R,3.3L R Aut,2001,89000 km,Quito | ,Pichincha,u$s12.500
Kia,Sportage,2.0L 4x2 GSL,2017,100000 km,Quito | ,Pichincha,u$s18.200
Mazda,6,2.0L,2010,192000 km,Guayaquil | ,Guayas,u$s14.500
Peugeot,308,1.6 308 CC,2011,97000 km,Quito | ,Pichincha,u$s9.000
Skoda,Fabia Combi,1.6L Combi,2012,230000 km,Guayaquil | ,Guayas,u$s10.300
Toyota,Corolla,XL,2006,165000 km,Quito | ,Pichincha,u$s11.500
Toyota,Hilux,4x4 CD Diesel,2016,77800 km,Loja | ,Loja,u$s8.500
Toyota,Hilux,2.4L 4x4 CD Diesel,1998,61093 km,Mira | ,Carchi,u$s1.500
Toyota,Rav4,2.0L 4x2,2007,172019 km,Ambato | ,Tungurahua,u$s14.699
Audi,A3,1.6,2002,300000 km,Ibarra | ,Imbabura,u$s8.000
JMC,Landwind,X2,2019,41000 km,Salinas | ,Santa Elena,u$s14.200
Changan,CS15,1.5L Elite 4x2,2019,35000 km,Quito | ,Pichincha,u$s15.990
Chevrolet,Spark GT,1.2L Full,2019,30000 km,Quito | ,Pichincha,u$s11.500
Chevrolet,Aveo Family,1.5L Ac,2015,74000 km,Portoviejo | ,Manabí,u$s10.499
Chevrolet,Corsa Hatchback,5P 1.4L,2003,168000 km,Quito | ,Pichincha,u$s6.300
Chevrolet,Spark,Life 1.0L,2017,102300 km,Guayaquil | ,Guayas,u$s8.500
Chevrolet,N300,Cargo 4x2,2015,136000 km,Guayaquil | ,Guayas,u$s8.000
Hyundai,Sonata,FX Full,2014,73000 km,Quito | ,Pichincha,u$s21.000
Hyundai,Tucson,2.0L Full AT,2006,150000 km,Quito | ,Pichincha,u$s10.500
Volkswagen,Amarok,2.0L 4x2 Bi-TDI,2010,253320 km,Quito | ,Pichincha,u$s15.500
Mercedes Benz,Clase V,280 Ambiente,1988,242000 km,Mira | ,Carchi,u$s2.000
Kia,Sportage,2.0L 4x2 GSL,2011,180000 km,Tulcán | ,Carchi,u$s17.500
Kia,Sportage,2.0L TM,2007,251000 km,Quito | ,Pichincha,u$s12.500
Skoda,Fabia,1.6 MPI,2007,123000 km,Guamote | ,Chimborazo,u$s4.000
Toyota,Land Cruiser 200,4.6L,2015,687000 km, Guachapala | ,Azuay,u$s10.000
